ID,Name,Watched,Rating
1,-Dark night at NTR Village-,no,0
2,.hack//Beyond the World,no,0
3,.hack//G.U. Trilogy,no,0
4,.hack//gift,no,0
5,.hack//Legend of the Twilight,no,0
6,.hack//Legend of the Twilight Bracelet,no,0
7,.hack//Liminality,no,0
8,.hack//Quantum,no,0
9,.hack//Roots,no,0
10,.hack//SIGN,no,0
11,.hack//The Movie,no,0
12,.hack//Versus: The Thanatos Report,no,0
13,Heroes Dismissed,no,0
14,Parade de Satie,no,0
15,(Secret) Draw,no,0
16,[C] - Control - The Money and Soul of Possibility,no,0
17,[C] The Money of Soul and Possibility Control,no,0
18,#NAME?,no,0
19,007 Boy and the Galaxy Raider,no,0
20,007 Boy and the Underground Empire,no,0
21,009 Re:Cyborg,no,0
22,009-1,no,0
23,07 Ghost,no,0
24,07-Ghost,no,0
25,1 Day Outside Pass Foreman,no,0
26,10 Chikan Association,no,0
27,10 Count,no,0
28,10 Tokyo Warriors,no,0
29,10 Tokyo Warriors (2001),no,0
30,10 Warriors of Tokyo,no,0
31,100 Sleeping Princes & the Kingdom of Dreams,no,0
32,100 Stories,no,0
33,100% Teacher Pascal,no,0
34,1000% for That Girl,no,0
35,10000 Years Later,no,0
36,11 Eyes,no,0
37,12 Female Teachers,no,0
38,12 Kingdoms,no,0
39,12-Sai. Chicchana Mune no Tokimeki 2nd Season,no,0
40,12K,no,0
41,15 Children Space Adventure,no,0
42,18 If,no,0
43,19th-Century Boy Takamaru,no,0
44,1st squad,no,0
45,2 X 2 = The Legend of Shinobu,no,0
46,2005 Space Odyssey,no,0
47,20faces,no,0
48,21 Emon: To Space! The Barefoot Princess,no,0
49,21 Emon: Welcome to the Space!!,no,0
50,22/7 (Nanabun no Nijyuuni),no,0
51,23 year old Female Teacher,no,0
52,2nd Lieutenant Norakuro: Sunday Magic,no,0
53,2x1,no,0
54,3 Iron Musketeers,no,0
55,30,no,0
56,300 Yen Companionship Anime Edition,no,0
57,3000 Leagues in Search of Mother,no,0
58,3D Magical Play,no,0
59,3x3 Eyes,no,0
60,3x3 Eyes - Immortals,no,0
61,3x3 Eyes: Legend of the Divine Demon,no,0
62,4-1/2 Tatami Mythological Chronicles,no,0
63,4.5 Tatami Mythological Chronicles,no,0
64,40th Gundam vs Hello Kitty 45th,no,0
65,5 Centimeters per Second,no,0
66,5leaves,no,0
67,663114,no,0
68,6HP (Six Hearts Princess) Pink or Black,no,0
69,7 of Seven,no,0
70,77 Group`s Secret,no,0
71,7O3X,no,0
72,7O3X Fastest Finger First,no,0
73,7o7,no,0
74,8 Man After,no,0
75,80 Days Around the World With Willy Fog,no,0
76,801 T.T.S. Airbats,no,0
77,8th Team,no,0
78,9 Love Stories,no,0
79,9 O`clock Woman,no,0
80,91 Days,no,0
81,A 1001 Nights,no,0
