ID,Name,Watched,Rating
1,.hack//4koma ,No,0
2,.hack//Alcor ,No,0
3,.hack//G.U.+ ,No,0
4,.hack//Legend of the Twilight ,No,0
5,.hack//LINK ,No,0
6,.hack//Xxxx ,No,0
7,07 Ghost ,No,0
8,2001 Nights ,No,0
9,20th Century Boys ,No,0
10,3×3 Eyes ,No,0
11,888,No,0
12,"A, A Prime ",No,0
13,A Gentleman's Kiss ,No,0
14,A.D. Police ,No,0
15,A.I. Love You ,No,0
16,Absolute Boyfriend ,No,0
17,Adolf ,No,0
18,Afro Samurai ,No,0
19,After I Win ,No,0
20,After School Nightmare ,No,0
21,Ai Yori Aoshi ,No,0
22,Air Gear ,No,0
23,Aishiteruze Baby ,No,0
24,Akame ga Kill! ,No,0
25,Akira ,No,0
26,Akatsuki-iro no Senpuku Majo ,No,0
27,"Alcohol, Shirt and Kiss ",No,0
28,Alice 19th ,No,0
29,Alice Academy ,No,0
30,Alichino ,No,0
31,Alien Nine ,No,0
32,Alive: The Final Evolution ,No,0
33,All Nippon Air Line ,No,0
34,All Purpose Cultural Cat Girl Nuku Nuku ,No,0
35,Alley of First Love ,No,0
36,Alone In My King's Harem ,No,0
37,Amefurashi ,No,0
38,Angel Heart ,No,0
39,Angel Sanctuary ,No,0
40,Angel/Dust ,No,0
41,Angelic Layer ,No,0
42,Animal Academy: Hakobune Hakusho ,No,0
43,Anne Freaks ,No,0
44,Antique Bakery ,No,0
45,Apocalypse Meow ,No,0
46,Apocalypse Zero ,No,0
47,Appleseed ,No,0
48,Aqua Knight ,No,0
49,Aquarium ,No,0
50,Area 88 ,No,0
51,Aria ,No,0
52,and Aqua prequel,No,0
53,Arisa ,No,0
54,Arm of Kannon ,No,0
55,Ashen Victor ,No,0
56,Astro Boy ,No,0
57,Attack on Titan ,No,0
58,Attack on Titan: Before the Fall ,No,0
59,Attack on Titan: Junior High ,No,0
60,Author's Pet ,No,0
61,Aventura,No,0
62,Awaken Forest ,No,0
63,Azumanga Daioh ,No,0
64,B't X ,No,0
65,B.B Explosion ,No,0
66,Baby & Me ,No,0
67,Baby Birth ,No,0
68,Backstage Prince ,No,0
69,Bakegyamon ,No,0
70,Baki the Grappler ,No,0
71,Baku ,No,0
72,Bakuman。 ,No,0
73,Ballad of a Shinigami ,No,0
74,Bambi and Her Pink Gun ,No,0
75,Bamboo Blade ,No,0
76,Banana Fish ,No,0
77,Banner of the Stars: see Seikai Trilogy,No,0
78,Baoh ,No,0
79,Barefoot Gen ,No,0
80,Baron: The Cat Returns ,No,0
81,Basara ,No,0
82,Basilisk: The Kouga Ninja Scrolls ,No,0
83,Bastard!! ,No,0
84,Batman: Child of Dreams ,No,0
85,Battle Angel Alita ,No,0
86,Battle Club ,No,0
87,Battle Royale ,No,0
88,Battle Vixens ,No,0
89,Beautiful People ,No,0
90,Beauty is the Beast ,No,0
91,Beauty Pop ,No,0
92,Because I'm the Goddess ,No,0
93,Because You Smile when I Sing ,No,0
94,Beck ,No,0
95,Beet the Vandel Buster ,No,0
96,Benkei in New York ,No,0
97,Berserk ,No,0
98,Beyblade ,No,0
99,Beyond My Touch ,No,0
100,Beyond the Beyond ,No,0
101,The Big O ,No,0
102,Black Bird ,No,0
103,Black Cat ,No,0
104,Black Jack ,No,0
105,Black Magic ,No,0
106,Blade of the Immortal ,No,0
107,Blame! ,No,0
108,Bleach ,No,0
109,Blood+ ,No,0
110,Blood Alone ,No,0
111,Blood Lad ,No,0
112,Blood Sucker: Legend of Zipangu ,No,0
113,Blood: The Last Vampire ,No,0
114,Bloody Kiss ,No,0
115,Blue Dragon RalΩGrad ,No,0
116,Blue Exorcist ,No,0
117,Blue Inferior ,No,0
118,Blue Spring ,No,0
119,Bobobo-bo Bo-bobo ,No,0
120,Bokurano: Ours ,No,0
121,Bondage Fairies series ,No,0
122,Boogiepop ,No,0
123,Bow Wow Wata ,No,0
124,The Box Man ,No,0
125,Boys Be... ,No,0
126,Boys Esté ,No,0
127,Boys Over Flowers ,No,0
128,Brain Powered ,No,0
129,Brigadoon ,No,0
130,Buddha ,No,0
131,Bunny Drop ,No,0
132,Bus Gamer ,No,0
133,Buso Renkin ,No,0
134,"Butterflies, Flowers ",No,0
135,Cafe Kichijoji de ,No,0
136,Cain Saga: see Earl Cain,No,0
137,Calling You ,No,0
138,Call Me Princess ,No,0
139,"Camera, Camera, Camera ",No,0
140,Candidate for Goddess ,No,0
141,Canon ,No,0
142,Cantarella ,No,0
143,Can't Win With You! ,No,0
144,Candy ,No,0
145,A Capable Man ,No,0
146,Captive Hearts ,No,0
147,Caravan Kidd ,No,0
148,Cardcaptor Sakura ,No,0
149,Case Closed ,No,0
150,Cat Paradise ,No,0
151,Cause of My Teacher ,No,0
152,"Ceres, Celestial Legend ",No,0
153,Challengers ,No,0
154,The Changeling: see Four Shōjo Stories,No,0
155,Cheeky Angel ,No,0
156,Cherry Juice ,No,0
157,Le Chevalier D'Eon ,No,0
158,Chibi Vampire ,No,0
159,Chicago ,No,0
160,Chikyu Misaki ,No,0
161,Children of the Sea ,No,0
162,Chobits ,No,0
163,Chrono Crusade ,No,0
164,Citrus ,No,0
165,City Hunter ,No,0
166,Clamp School Detectives ,No,0
167,Clan of the Nakagamis ,No,0
168,Classical Medley ,No,0
169,Claymore ,No,0
170,Clear Skies!,No,0
171,Close the Last Door ,No,0
172,Clover ,No,0
173,Club 9 ,No,0
174,Color,No,0
175,Comic Party ,No,0
176,Confidential Confessions ,No,0
177,Constellations in My Palm ,No,0
178,Corrector Yui ,No,0
179,Count Cain: see Earl Cain,No,0
180,Cowa! ,No,0
181,Cowboy Bebop ,No,0
182,Crayon Shin-chan ,No,0
183,Crescent Moon ,No,0
184,Crest of the Stars: see Seikai Trilogy,No,0
185,Crimson Hero ,No,0
186,Crimson Spell ,No,0
187,Cromartie High School ,No,0
188,Cross ,No,0
189,Crusher Joe ,No,0
190,Crying Freeman ,No,0
191,Culdcept ,No,0
192,Cut,No,0
193,Cute Beast ,No,0
194,Cutey Honey '90 ,No,0
195,Cyborg 009 ,No,0
196,D. Gray-man ,No,0
197,D.N.Angel ,No,0
198,Dance Till Tomorrow ,No,0
199,Dark Edge ,No,0
200,Dark Water ,No,0
201,Darker than Black ,No,0
202,Dawn of the Arcana ,No,0
203,Dazzle ,No,0
204,DearS ,No,0
205,Dead End ,No,0
206,Death Note ,No,0
207,"Demon Ororon, The ",No,0
208,Densha Otoko: The Story of a Train Man Who Fell in Love With A Girl ,No,0
209,Descendants of Darkness ,No,0
210,Desert Coral ,No,0
211,Desire ,No,0
212,Deus Vitae ,No,0
213,Devilman ,No,0
214,Devil May Cry 3 ,No,0
215,Di Gi Charat ,No,0
216,Diabolo ,No,0
217,Disgaea ,No,0
218,Dog X Cat ,No,0
219,Dolis,No,0
220,Doll ,No,0
221,Dolls ,No,0
222,Dominion ,No,0
223,Don't Blame Me ,No,0
224,"Don't Say Anymore, Darling ",No,0
225,Dorohedoro ,No,0
226,Doubt!! ,No,0
227,Dr. Slump ,No,0
228,Dragon Ball ,No,0
