ID,Name,Watched,Rating
1,110 in the Shade,no,0
2,13,no,0
3,1492 Up To Date,no,0
4,1600 Pennsylvania Avenue,no,0
5,1776,no,0
6,1789: Les Amants de la Bastille,no,0
7,21 Chump Street,no,0
8,The 25th Annual Putnam County Spelling Bee,no,0
9,3 Musketiers,no,0
10,3 Weeks in Spring,no,0
11,35MM: A Musical Exhibition,no,0
12,3hree,no,0
13,42nd Street,no,0
14,70,no,0
15,8 femmes,no,0
16,9 to 5,no,0
17,90210! The Musical!,no,0
18,A... My Name Is Alice,no,0
19,A... My Name Is Still Alice,no,0
20,A... My Name Will Always Be Alice,no,0
21,Aaron Slick from Punkin Crick,no,0
22,Abbacadabra,no,0
23,About Face,no,0
24,About Town,no,0
25,Absolute Beginners,no,0
26,Abyssinia,no,0
27,Ace,no,0
28,Ace of Clubs,no,0
29,Acorn Antiques,no,0
30,Across the Universe,no,0
31,The Act,no,0
32,The Addams Family,no,0
33,Adding Machine,no,0
34,Adèle,no,0
35,Adonis,no,0
36,The Adventures of Huckleberry Finn,no,0
37,The Adventures of Priscilla,no,0
38,The Adventures of Tom Sawyer,no,0
39,Affair in Trinidad,no,0
40,The Affairs of Dobie Gillis,no,0
41,Afgar,no,0
42,Africana,no,0
43,After the Ball,no,0
44,Aida,no,0
45,Ain't Misbehavin',no,0
46,Ain't Supposed to Die a Natural Death,no,0
47,Ain't Too Proud,no,0
48,Aladdin,no,0
49,Ali Baba ,no,0
50,Alice in Wonderland,no,0
51,Alice with Kisses,no,0
52,Alice's Adventures in Wonderland,no,0
53,Alive and Kicking,no,0
54,All 4 One,no,0
55,All Aboard,no,0
56,All American,no,0
57,All the Fun of the Fair,no,0
58,All Hands on Deck,no,0
59,All in Fun,no,0
60,All in Love,no,0
61,All the King's Horses,no,0
62,All Out of Love,no,0
63,All Shook Up,no,0
64,All That Jazz,no,0
65,Allegiance,no,0
66,Allegro,no,0
67,An Alligator Named Daisy,no,0
68,Alma,no,0
69,Almost Famous,no,0
70,Alone at Last,no,0
71,Along Fifth Avenue,no,0
72,Altar Boyz,no,0
73,Amazing Grace,no,0
74,Ambassador,no,0
75,Amélie,no,0
76,Amen Corner,no,0
77,America Kicks Up Its Heels,no,0
78,The American Astronaut,no,0
79,American Idiot,no,0
80,An American in Paris,no,0
81,American Pop,no,0
82,America's Sweetheart,no,0
83,The Amorous Flea,no,0
84,Amour,no,0
85,Amphitryon,no,0
86,Anastasia,no,0
87,Anchors Aweigh,no,0
88,And the Angels Sing,no,0
89,And the World Goes 'Round,no,0
90,André Charlot's Revue of 1924,no,0
91,Andy Hardy's Private Secretary,no,0
92,Angel,no,0
93,Angel in the Wings,no,0
94,Angelika,no,0
95,Angélique,no,0
96,Angry Housewives,no,0
97,Ani: A Parody,no,0
98,Animal Crackers,no,0
99,Ankles Aweigh,no,0
100,Anne & Gilbert,no,0
101,Anne of Green Gables,no,0
102,Annie,no,0
103,Annie Get Your Gun,no,0
104,Annie Warbucks,no,0
105,Anya,no,0
106,Anyone Can Whistle,no,0
107,Anything Goes,no,0
108,Applause,no,0
109,Apple Blossoms,no,0
110,The Apple Tree,no,0
111,April in Paris,no,0
112,April Love,no,0
113,An Arabian Girl and 40 Thieves,no,0
114,Arabian Nights,no,0
115,The Arcadians,no,0
116,Are You With It?,no,0
117,Argentine Nights,no,0
118,Ari,no,0
119,The Aristocats,no,0
120,The Ark,no,0
121,Arms and the Girl,no,0
122,Around the World,no,0
123,Arthur! Arthur!,no,0
124,Artists and Models,no,0
125,As the Girls Go,no,0
126,As Long as They're Happy,no,0
127,As Thousands Cheer,no,0
128,Aspects of Love,no,0
129,Assassins,no,0
130,At the Circus,no,0
131,At the Drop of Another Hat,no,0
132,At the Drop of a Hat,no,0
133,At Home Abroad,no,0
134,At Long Last Love,no,0
135,At War with the Army,no,0
136,Athena,no,0
137,The Athenian Touch,no,0
138,Aunt Sally,no,0
139,Autant en emporte le vent,no,0
140,Avenue Q,no,0
141,Babes in Arms,no,0
142,Babes in Toyland,no,0
143,Babes on Broadway,no,0
144,Babette,no,0
145,Baby,no,0
146,Baby It's You!,no,0
147,Baby Talk,no,0
148,Back to the 80's,no,0
149,Bad Girls,no,0
150,Bad Habits of 1926,no,0
151,Bajour,no,0
152,Baker Street,no,0
153,The Baker's Wife,no,0
154,The Balkan Princess,no,0
155,Ball im Savoy,no,0
156,Ballad for Bimshire,no,0
157,Ballroom,no,0
158,Bambi,no,0
159,The Band,no,0
160,Band Geeks,no,0
161,Band Waggon,no,0
162,The Band Wagon,no,0
163,Bandanna Land,no,0
164,The Band's Visit,no,0
165,Bandstand,no,0
166,Banjo Eyes,no,0
167,Bar Mitzvah Boy,no,0
168,Barbarella,no,0
169,The Bardy Bunch,no,0
170,Bare Facts of 1926,no,0
171,Bare: The Musical,no,0
172,Bare: A Pop Opera,no,0
173,Barefoot Boy with Cheek,no,0
174,The Barkleys of Broadway,no,0
175,Barnum,no,0
176,Baron Trenck,no,0
177,The Baroness Fiddlesticks,no,0
178,Bat Boy,no,0
179,Bat Out of Hell,no,0
180,Bats,no,0
181,The Battle of Paris,no,0
182,Bayside! The Musical!,no,0
183,Be More Chill,no,0
184,Be Yourself,no,0
185,Beat the Band,no,0
186,Beatlemania,no,0
187,Beautiful: The Carole King Musical,no,0
188,Beautiful Dreamer,no,0
189,The Beautiful Game,no,0
190,Beauty and the Beast,no,0
191,The Beauty Shop,no,0
192,The Beauty Spot,no,0
193,Beauty World,no,0
194,Because of Winn-Dixie,no,0
195,Because You're Mine,no,0
196,Bedknobs and Broomsticks,no,0
197,A Bedtime Story,no,0
198,Beetlejuice,no,0
199,The Beggar Student,no,0
200,Beggar's Holiday,no,0
201,The Beggar's Opera,no,0
202,Beguiled Again,no,0
203,Behind the Iron Mask,no,0
204,Bel-Ami,no,0
205,Bell Bottom George,no,0
206,Bella: An American Tall Tale,no,0
207,La belle Hélène,no,0
208,La Belle Meunière,no,0
209,The Belle of Brittany,no,0
210,The Belle of New York,no,0
